"","Timepoint","Treatment","pH_mean","pH_sd","EC_mean","EC_sd","NitrateNperkgDrySoil_mean","NitrateNperkgDrySoil_sd","NH4NperkgDrySoil_mean","NH4NperkgDrySoil_sd"
"1","t0","2spp",6.645,0.106,0.195,0.007,0,0,1.89,0.438
"2","t0","2spp+WM",6.41,0.226,0.185,0.035,0,0,1.91,0.184
"3","t0","CC",6.535,0.658,0.25,0.028,0.94,0.665,1.905,0.021
"4","t0","CC+WM",6.555,0.148,0.225,0.064,0.9,0.24,2.205,0.912
"5","t0","F+W",6.06,0.24,0.21,0.057,2.725,0.219,3.06,1.711
"6","t0","F+WM",6.52,0.17,0.24,0.042,2.555,0.615,3.095,1.124
"7","t0","Tr",6.88,0.566,0.21,0.085,1,1.414,2.125,0.134
"8","t0","Tr+WM",6.31,0.127,0.135,0.035,0,0,2.385,0.205
"9","t1","2spp",6.987,0.257,0.122,0.061,1.413,1.021,4.535,0.259
"10","t1","2spp+WM",6.83,0.26,0.148,0.065,0.938,1.166,6.522,1.369
"11","t1","CC",6.932,0.234,0.132,0.047,1.39,0.947,4.11,1.041
"12","t1","CC+WM",6.975,0.329,0.122,0.054,0.81,0.82,5.305,1.534
"13","t1","F+W",6.875,0.247,0.088,0.021,2.845,0.327,3.808,1.635
"14","t1","F+WM",6.758,0.268,0.11,0.036,0.613,0.989,5.785,1.231
"15","t1","Tr",6.898,0.203,0.105,0.021,0.575,0.558,3.592,0.738
"16","t1","Tr+WM",6.74,0.284,0.138,0.049,0.215,0.43,5.93,1.526
"17","t2","2spp",6.875,0.244,0.117,0.046,1.743,1.697,4.395,1.04
"18","t2","2spp+WM",6.715,0.393,0.117,0.057,0.493,0.985,10.518,5.321
"19","t2","CC",6.79,0.304,0.098,0.028,4.287,0.661,4.595,2.159
"20","t2","CC+WM",6.877,0.32,0.13,0.051,0.993,0.539,11.005,3.84
"21","t2","F+W",6.608,0.346,0.08,0.022,3.618,2.061,5.86,3.105
"22","t2","F+WM",6.532,0.168,0.103,0.03,1.17,1.596,9.465,3.205
"23","t2","Tr",6.678,0.185,0.082,0.005,0.635,0.864,2.895,0.804
"24","t2","Tr+WM",6.62,0.43,0.132,0.005,0.122,0.245,9.11,1.253
"25","t3","2spp",6.78,0.406,0.115,0.055,2.473,2.058,5.635,4.539
"26","t3","2spp+WM",6.713,0.347,0.143,0.06,2.263,1.78,16.933,10.037
"27","t3","CC",6.873,0.204,0.13,0.068,6.71,2.45,6.52,4.23
"28","t3","CC+WM",6.772,0.386,0.165,0.073,6.19,4.873,10.99,3.305
"29","t3","F+W",6.598,0.629,0.105,0.059,4.978,2.165,3.31,1.115
"30","t3","F+WM",6.56,0.252,0.108,0.022,3.325,2.672,22.46,10.586
"31","t3","Tr",6.718,0.212,0.11,0.042,0.37,0.299,3.69,1.856
"32","t3","Tr+WM",6.673,0.428,0.158,0.059,1.12,0.793,12.02,8.179
"33","t4","2spp",6.32,0.268,0.148,0.041,6.165,2.103,3.487,1.761
"34","t4","2spp+WM",6.228,0.444,0.228,0.074,16.5,14.424,7.84,3.677
"35","t4","CC",6.31,0.27,0.152,0.06,9.275,2.776,6.178,4.862
"36","t4","CC+WM",6.258,0.484,0.232,0.093,18.965,6.337,20.747,30.564
"37","t4","F+W",6.025,0.46,0.11,0.016,7.472,1.492,3.085,2.46
"38","t4","F+WM",5.86,0.206,0.18,0.024,9.975,5.958,9.008,7.178
"39","t4","Tr",6.145,0.254,0.112,0.04,2.525,1.376,3.173,0.641
"40","t4","Tr+WM",6.215,0.384,0.158,0.056,10.485,7.988,3.898,2.181
"41","t5","2spp",6.9,0.323,0.25,0.073,9.433,4.36,2.852,1.492
"42","t5","2spp+WM",6.718,0.343,0.268,0.069,22.933,11.717,6.608,5.523
"43","t5","CC",6.89,0.38,0.212,0.072,28.035,13.024,6.245,4.854
"44","t5","CC+WM",6.68,0.454,0.27,0.055,28.43,10.542,4.263,1.42
"45","t5","F+W",6.617,0.498,0.155,0.026,11.002,6.341,2.413,0.765
"46","t5","F+WM",6.543,0.345,0.245,0.037,22.637,11.4,8.398,6.106
"47","t5","Tr",6.77,0.225,0.15,0.044,6.322,2.217,2.763,0.582
"48","t5","Tr+WM",6.822,0.212,0.192,0.046,16.472,8.285,4.952,3.607
"49","t6","2spp",6.668,0.323,0.168,0.029,14.035,5.348,2.275,0.887
"50","t6","2spp+WM",6.412,0.685,0.318,0.207,23.61,20.875,2.258,0.692
"51","t6","CC",6.688,0.322,0.182,0.05,19.762,13.552,2.453,1.209
"52","t6","CC+WM",6.485,0.277,0.288,0.1,29.713,14.965,2.393,0.431
"53","t6","F+W",6.518,0.617,0.168,0.064,10.713,9.637,3.433,4.201
"54","t6","F+WM",6.2,0.33,0.242,0.124,28.142,22.188,3.88,3.17
"55","t6","Tr",6.648,0.231,0.165,0.038,9.988,5.535,2.63,1.04
"56","t6","Tr+WM",6.792,0.365,0.182,0.054,11.717,6.57,2.32,0.502
